label,rec_count,seg_count,class_name,need_synth,is_small
Caiman yacare,1,5,Reptilia,99,True
Equus caballus,1,11,Mammalia,99,True
Physalaemus centralis,1,13,Amphibia,99,True
Phyllomedusa sauvagii,1,5,Amphibia,99,True
Sapajus cay,1,28,Mammalia,99,True
Physalaemus nattereri,2,34,Amphibia,98,True
Leptodactylus macrosternum,2,28,Amphibia,98,True
Scinax acuminatus,2,14,Amphibia,98,True
Dermatonotus muelleri,3,29,Amphibia,97,True
Mico melanurus,3,41,Mammalia,97,True
Boana lundii,3,76,Amphibia,97,True
Antiurus maculicaudus,3,37,Aves,97,True
Ameerega picta,3,62,Amphibia,97,True
Pseudopaludicola mystacalis,4,85,Amphibia,96,True
Lysapsus limellum,5,81,Amphibia,95,True
Plecturocebus pallescens,5,257,Mammalia,95,True
Physalaemus albifrons,5,153,Amphibia,95,True
Pseudis platensis,5,67,Amphibia,95,True
Leptodactylus podicipinus,6,104,Amphibia,94,True
Leptodactylus petersii,6,82,Amphibia,94,True
Trachycephalus typhonius,6,80,Amphibia,94,True
Leptodactylus syphax,6,102,Amphibia,94,True
Prionacris erosa,7,109,Insecta,93,True
Leptodactylus elenae,8,97,Amphibia,92,True
Boana punctata,9,129,Amphibia,91,True
Guyalna cuta,10,220,Insecta,90,True
Leptodactylus labyrinthicus,10,114,Amphibia,90,True
Bos taurus,10,1083,Mammalia,90,True
Scinax fuscomarginatus,11,159,Amphibia,89,True
Leptodactylus luctator,12,137,Amphibia,88,True
Alouatta caraya,12,423,Mammalia,88,True
Rhinella diptycha,13,325,Amphibia,87,True
Rufirallus schomburgkii,15,255,Aves,85,True
Boana raniceps,16,314,Amphibia,84,True
Chordeiles nacunda,18,317,Aves,82,True
Scinax fuscovarius,19,516,Amphibia,81,True
Panthera onca,21,332,Mammalia,79,True
Dendropsophus nanus,23,302,Amphibia,77,True
Taoniscus nanus,23,402,Aves,77,True
Physalaemus albonotatus,24,593,Amphibia,76,True
Elachistocleis bicolor,25,430,Amphibia,75,True
Physalaemus biligonigerus,26,600,Amphibia,74,True
Paroaria capitata,27,374,Aves,73,True
Pseudoseisura unirufa,28,722,Aves,72,True
Emberizoides ypiranganus,30,869,Aves,70,True
Leptodactylus mystacinus,31,564,Amphibia,69,True
Inezia inornata,36,951,Aves,64,True
Canis familiaris,37,325,Mammalia,63,True
Synallaxis hypospodia,41,1576,Aves,59,True
Dendropsophus minutus,42,921,Amphibia,58,True
Scinax nasicus,44,853,Amphibia,56,True
Primolius auricollis,46,754,Aves,54,True
Crax fasciolata,51,1410,Aves,49,False
Microspingus melanoleucus,56,1365,Aves,44,False
Casiornis rufus,58,885,Aves,42,False
Busarellus nigricollis,58,1097,Aves,42,False
Leptodactylus fuscus,59,1053,Amphibia,41,False
Synallaxis albilora,59,2114,Aves,41,False
Cercomacra melanaria,63,1805,Aves,37,False
Anodorhynchus hyacinthinus,65,1776,Aves,35,False
Machaeropterus pyrocephalus,66,1353,Aves,34,False
Theristicus caerulescens,68,2693,Aves,32,False
Furnarius leucopus,69,1216,Aves,31,False
Arremon flavirostris,69,1721,Aves,31,False
Tityra cayana,71,1213,Aves,29,False
